 # L =           20
     # Time          E          M
          10        -448         -58
          20        -540         -72
          30        -520         -74
          40        -560         -60
          50        -536         -80
          60        -572         -48
          70        -516           4
          80        -516          18
          90        -488         -18
         100        -564          16
         110        -556          68
         120        -532         112
         130        -540         142
         140        -576         172
         150        -604         184
         160        -596         200
         170        -556         192
         180        -584         222
         190        -624         246
         200        -648         240
         210        -656         252
         220        -600         216
         230        -612         204
         240        -548         194
         250        -588         178
         260        -624         222
         270        -612         222
         280        -596         228
         290        -588         226
         300        -620         244
         310        -640         252
         320        -624         242
         330        -600         226
         340        -616         228
         350        -612         222
         360        -524         218
         370        -628         264
         380        -624         284
         390        -648         270
         400        -604         250
         410        -596         264
         420        -600         268
         430        -612         250
         440        -548         216
         450        -648         260
         460        -560         226
         470        -608         246
         480        -588         256
         490        -688         302
         500        -640         268
         510        -592         264
         520        -620         264
         530        -644         244
         540        -628         274
         550        -572         264
         560        -612         276
         570        -664         302
         580        -588         254
         590        -624         298
         600        -644         306
         610        -636         292
         620        -676         306
         630        -572         248
         640        -616         258
         650        -644         272
         660        -536         228
         670        -604         274
         680        -688         332
         690        -676         332
         700        -640         346
         710        -692         350
         720        -688         360
         730        -728         378
         740        -768         392
         750        -728         374
         760        -684         344
         770        -652         324
         780        -688         328
         790        -692         348
         800        -660         354
         810        -680         360
         820        -684         350
         830        -680         354
         840        -692         348
         850        -696         364
         860        -676         352
         870        -744         384
         880        -756         388
         890        -736         378
         900        -748         384
         910        -740         384
         920        -616         340
         930        -644         342
         940        -596         314
         950        -640         344
         960        -756         388
         970        -716         374
         980        -704         372
         990        -624         326
        1000        -700         356
        1010        -632         318
        1020        -640         334
        1030        -692         356
        1040        -624         330
        1050        -676         350
        1060        -700         360
        1070        -704         358
        1080        -740         376
        1090        -660         356
        1100        -668         358
        1110        -712         376
        1120        -688         368
        1130        -644         350
        1140        -736         378
        1150        -748         386
        1160        -728         380
        1170        -756         388
        1180        -724         380
        1190        -664         342
        1200        -676         354
        1210        -676         348
        1220        -680         360
        1230        -712         360
        1240        -640         344
        1250        -620         330
        1260        -676         356
        1270        -676         360
        1280        -684         366
        1290        -680         366
        1300        -704         360
        1310        -716         374
        1320        -768         392
        1330        -736         382
        1340        -696         364
        1350        -712         376
